,Rank,Conference,Short Name,H5-Index
61,62,"IEEE Transactions on Systems, Man, and Cybernetics, Part B",IEEE SMC,48.00
62,63,International Conference on Research an Development in Information Retrieval,SIGIR,47.00
63,64,International Journal of Robotics Research,IJRR,47.00
64,65,Journal of Computational Physics,JCP,47.00
65,66,Computers in Human Behavior,COMPUT HUM BEHAV,46.00
66,67,IEEE Transactions on Communications,TOC,46.00
67,68,"IEEE Transactions on Audio, Speech, and Language Processing",TASLP,46.00
68,69,IEEE Transactions on Visualization and Computer Graphics,TVCG,46.00
69,70,Pattern Recognition,,45.00
70,71,IEEE Transactions on Robotics,TR,45.00
71,72,IEEE Transactions on Neural Networks,TNN,45.00
72,73,"IEEE International Conference on Acoustics, Speech and SP",ICASSP,45.00
73,74,Conference on Empirical Methods in Natural Language Processing,EMNLP,45.00
74,75,IEEE Transactions on Industrial Informatics,IEEE T IND INFORM,45.00
75,76,IEEE Transactions on Biomedical Engineering,ITBE,45.00
76,77,ACM Conference on Computer and Communications Security,CCS,44.00
77,78,AAAI Conference on Artificial Intelligence,AAAI,44.00
78,79,IEEE Transactions on Fuzzy Systems,TFS,44.00
79,80,Journal of Selected Topics in Signal Processing,J-STSP,44.00
80,81,Computers & Operations Research,Computers & OR,44.00
81,82,Decision Support Systems,DSS,43.00
82,83,IEEE Transactions on Information Forensics and Security,TIFS,43.00
83,84,International Conference on Software Engineering,ICSE,43.00
84,85,Future Generation Computer Systems,FGCS,43.00
85,86,Journal of the American Society for Information Science and Technology,JASIST,42.00
86,87,IEEE Transactions on Circuits and Systems,ITCS,42.00
87,88,Information Systems Research,ISR,41.00
88,89,Internet Measurement Conference,IMC,41.00
89,90,IEEE Transactions on Intelligent Transportation Systems,TITS,41.00
90,91,Medical Image Analysis,,41.00
91,92,International Solid-State Circuits Conference,ISSCC,41.00
92,93,Usenix Security Symposium,USENIX Security,41.00
93,94,IEEE CLOUD,,41.00
94,95,Computer Graphics Forum,,41.00
95,96,IEEE Transactions on Control Systems Technology,TCST,41.00
96,97,Operations Research,OR,40.00
97,98,Applied Mathematics and Computation,AMC,40.00
98,99,IEEE Transactions on Multimedia,TMM,40.00
99,100,Computer Physics Communications,CPC,40.00
100,101,Computer Supported Cooperative Work,CSCW,40.00
101,102,Conference of the North American Chapter of the Association for Computational Linguistics Human Language Technologies,NAACL-HLT,40.00
102,103,IEEE International Conference on Data Engineering,ICDE,40.00
103,104,"International Conference on Mobile Systems, Applications, and Services",MobiSys,40.00
104,105,BMC Systems Biology,BMC SYST BIOL,40.00
105,106,IEEE Transactions on. Circuits and Systems for Video Technology,TCSVT,40.00
106,107,IEEE Wireless Communications,IWC,40.00
107,108,Knowledge-Based Systems,,40.00
108,109,ACM Computing Surveys,CSUR,40.00
109,110,Signal Processing,,39.00
110,111,Neurocomputing,,39.00
111,112,Computer Networks,CN,39.00
112,113,ACM Symposium on User Interface Software and Technology,UIST,39.00
113,114,"International Conference for High Performance Computing, Networking, Storage, and Analysis",SC,39.00
114,115,Artificial Intelligence,,39.00
115,116,IEEE Computer,COMPUTER,39.00
116,117,SIAM: SIAM Journal on Computing,SICOMP,39.00
117,118,IEEE Communications Letters,IEEE Commun. Lett.,38.00
118,119,IEEE Transactions on Information Technology in Biomedicine,TITB,38.00
119,120,International Conference on Intelligent RObots and Systems - IROS,IROS,38.00
120,121,ACM International Conference on Information and Knowledge Management,CIKM,38.00
121,122,Architectural Support for Programming Languages and Operating Systems,ASPLOS,38.00
122,123,IEEE Transactions on Evolutionary Computation,TEVC,38.00
123,124,Journal of Economic Theory,,38.00
124,125,Journal of Network and Computer Applications,,38.00
125,126,Pattern Recognition Letters,PRL,37.00
126,127,IEEE International Conference on Communications,ICC,37.00
127,128,EuroSys,EuroSys,37.00
128,129,"IEEE Global Communications Conference, incorporating the Global Internet Symposium",Globecom,37.00
129,130,ACM International Conference on Mobile Computing and Networking,MOBICOM,37.00
130,131,ACM Multimedia,MM,37.00
131,132,Journal of the American Medical Informatics Association,JAMIA,37.00
132,133,IEEE Internet Computing,INTERNET,36.00
133,134,Games and Economic Behavior,GAME ECON BEHAV,36.00
134,135,International Symposium on Computer Architecture,ISCA,36.00
135,136,Autonomous Agents and Multi-Agent Systems,AAMAS,36.00
136,137,IEEE International System-on-Chip (SoC) Conference,SoCC,36.00
137,138,International Conference on Distributed Computing Systems,ICDCS,36.00
138,139,ACM SIGPLAN Symposium on Programming Language Design & Implementation,PLDI,36.00
139,140,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,POPL,36.00
140,141,ISOC Network and Distributed System Security Symposium,NDSS,36.00
141,142,Information & Software Technology,INFSOF,36.00
142,143,"IEEE Transactions on Systems, Man, and Cybernetics, Part C",,36.00
143,144,IEEE Transactions on Computers,TOC,36.00
144,145,IEEE Signal Processing Letters,,36.00
145,146,IEEE Network,NETWORK,36.00
146,147,Journal of Chemical Information and Modeling,J CHEM INF MODEL,36.00
147,148,SIAM Journal on Scientific Computing,SISC,36.00
148,149,Journal of Biomedical Informatics,JBI,35.00
149,150,Briefings in Bioinformatics,,35.00
150,151,Mathematical and Computer Modelling,MATH COMPUT MODELLING,35.00
151,152,Computer Aided Verification,CAV,35.00
152,153,Annual Conference of the International Speech Communication Association,INTERSPEECH,35.00
153,154,International Joint Conference on Artificial Intelligence,IJCAI,35.00
154,155,"Design, Automation & Test in Europe Conference",DATE,35.00
155,156,IEEE Transactions on Very Large Scale Integration Systems,TVLSI,35.00
156,157,Programs in Mathematics,,35.00
157,158,Image and Vision Computing,,35.00
158,159,Computer Communications,CC,34.00
159,160,Computer Vision and Image Understanding,CVIU,34.00
160,161,Ad hoc Networks,,34.00
161,162,Scientometrics,Scientometrics,34.00
162,163,High-Performance Computer Architecture,HPCA,34.00
163,164,ECCV (1),ECCV,34.00
164,165,International Parallel & Distributed Processing Symposium,IPDPS,34.00
165,166,ICSE (1),ICSE,34.00
166,167,Cluster Computing and the Grid,CCGRID,34.00
167,168,IEEE Signal Processing Magazine,,34.00
168,169,New Media & Society,NEW MEDIA SOC,34.00
169,170,IEEE T. Instrumentation and Measurement,,34.00
170,171,Journal of Computational Chemistry,JCC,33.00
171,172,Machine Learning,,33.00
172,173,SIAM Journal on Optimization,,33.00
173,174,Marketing Science,Marketing,33.00
174,175,Environmental Modelling and Software,ENVSOFT,33.00
175,176,Design Automation Conference,DAC,33.00
176,177,Conference on Recommender Systems,RecSys,33.00
177,178,IEEE International Conference on DataMining,ICDM,33.00
178,179,USENIX Symposium on Operating Systems Design and Implementations,OSDI,33.00
179,180,Computers & Chemical Engineering,CCE,33.00
180,181,"IEEE Transactions on Systems, Man, and Cybernetics, Part A",,33.00
181,182,IEEE Transactions on Services Computing,TSC,33.00
182,183,Journal of Web Semantics,J. Web Sem.,33.00
183,184,Theoretical Computer Science,TCS,33.00
184,185,Systems & Control Letters,SCL,32.00
185,186,Computational Statistics & Data Analysis,CS&DA,32.00
186,187,Neural Networks,,32.00
187,188,Personal and Ubiquitous Computing,PUC,32.00
188,189,Computers & Industrial Engineering,COMPUT IND ENG,32.00
189,190,MICRO,MICRO,32.00
190,191,,ISIT,32.00
191,192,ACM-SIAM Symposium on Discrete Algorithms,SODA,32.00
192,193,Conference on Decision and Control,CDC,32.00
193,194,Language Resources and Evaluation,LREC,32.00
194,195,International Semantic Web Conference (1),International Semantic Web Conference,32.00
195,196,Selected Areas in Cryptography,SAC,32.00
196,197,International Conference on Artificial Intelligence and Statistics,AISTATS,32.00
197,198,International Conference on Image Processing,ICIP,32.00
198,199,Journal of Computer and System Sciences,J. Comput. Syst. Sci.,32.00
199,200,Journal of Informetrics,JOI,32.00
200,201,SIAM Journal on Imaging Sciences,SIIMS,32.00
201,202,Fuzzy Sets and Systems,,31.00
202,203,Robotics and Autonomous Systems,RaS,31.00
203,204,Cognitive Science Society Annual Conference,CogSci,31.00
204,205,International Conference on Pattern Recognition,ICPR,31.00
205,206,ECCV (4),ECCV,31.00
206,207,ECCV (3),ECCV,31.00
207,208,USENIX Annual Technical Conference,USENIX ATC,31.00
208,209,IEEE Symposium on Foundations of Computer Science,FOCS,31.00
209,210,Journal of Management Information Systems,JMIS,31.00
210,211,International Journal of Medical Informatics,IJMI,31.00
211,212,IEEE Transactions on Neural Networks and Learning Systems,TNNLS,31.00
212,213,IEEE Transactions on Automation Science and Engineering,TASE,31.00
213,214,IEEE Transactions on Dependable and Secure Computing,TDSC,31.00
214,215,International Journal of Approximate Reasoning,IJAR,31.00
215,216,Knowledge and Information Systems,KAIS,31.00
216,217,Engineering Applications of Artificial Intelligence,EAAI,31.00
217,218,Neural Computation,NC,30.00
218,219,International Journal of Geographical Information Science,IJGIS,30.00
219,220,Hawaii International Conference on System Sciences,HICSS,30.00
220,221,High-Performance Distributed Computing,HPDC,30.00
221,222,European Cryptology Conference,EUROCRYPT,30.00
222,223,ECCV (2),ECCV,30.00
223,224,ECCV (6),ECCV,30.00
224,225,International Conference on Information Processing in Sensor Networks,IPSN,30.00
225,226,British Machine Vision Conference,BMVC,30.00
226,227,Conference On Embedded Networked Sensor Systems,SenSys,30.00
227,228,Automated Software Engineering,ASE,30.00
228,229,IEEE/ACM Transactions on Computational Biology and Bioinformatics,TCBB,30.00
229,230,Journal of the ACM,JACM,30.00
230,231,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,TCAD,30.00
231,232,Journal of Parallel and Distributed Computing,JPDC,30.00
232,233,ACM Transactions on Algorithms,TALG,30.00
233,234,SIAM Journal on Numerical Analysis,SINUM,30.00
234,235,Pervasive and Mobile Computing,PMC,29.00
235,236,International Conference on Extending DB Technology,EDBT,29.00
236,237,Annual Computer Security Applications Conference,ACSAC,29.00
237,238,SIGSOFT FSE,,29.00
238,239,International Conference On Cloud Computing Technology And Science,CloudCom,29.00
239,240,ACM Symposium on Theory of Computing,STOC,29.00
240,241,ACM International Conference on Ubiquitous Computing,UbiComp,29.00
241,242,SIAM International Conference on Data Mining,SDM,29.00
242,243,Reliability Engineering & System Safety,Rel. Eng. & Sys. Safety,29.00
243,244,Journal of Computational and Applied Mathematics,JCAM,29.00
244,245,Concurrency and Computation: Practice and Experience,CCPE,29.00
245,246,Computer Communication Review,CCR,29.00
246,247,Speech Communication,Speech Com,28.00
247,248,IEEE Software,SOFTWARE,28.00
248,249,IEEE Pervasive Computing,,28.00
249,250,Encyclopedia of Parallel Computing,,28.00
250,251,IEEE Wireless Communications & Networking Conference,WCNC,28.00
251,252,Parallel Architectures and Compilation Techniques,PACT,28.00
252,253,"Conference on Object-Oriented Programming Systems, Languages, and Applications",OOPSLA,28.00
253,254,ACM International Conference on emerging Networking EXperiments and Technologies,CoNEXT,28.00
254,255,ECCV (5),ECCV,28.00
255,256,Human-Robot Interaction,HRI,28.00
256,257,Tools and Algorithms for Construction and Analysis of Systems,TACAS,28.00
257,258,Conference on File and Storage Technologies,FAST,28.00
258,259,Journal of Computer Assisted Learning,JCAL,28.00
259,260,ACM Transactions on Sensor Networks,TOSN,28.00
260,261,Information Systems,IS,28.00
261,262,Multimedia Tools and Applications,,28.00
262,263,"Cyberpsychology, Behavior, and Social Networking",,28.00
263,264,Autonomous Robots,,28.00
264,265,SIAM Journal on Control and Optimization,SICON,28.00
265,266,Annals of Operations Research,Annals OR,28.00
266,267,Algorithmica,,27.00
267,268,Computers & Geosciences,COMPUT GEOSCI,27.00
268,269,IEEE Intelligent Systems,,27.00
269,270,Computer Methods and Programs in Biomedicine,CMPB,27.00
270,271,Encyclopedia of Machine Learning,,27.00
271,272,Computers & Security,,27.00
272,273,Social Networks,SOC NETWORKS,27.00
273,274,Computer Speech & Language,,27.00
274,275,VTC Spring,,27.00
275,276,The Workshop on Hot Topics in Networks,HotNets,27.00
276,277,Evolutionary Computation,,27.00
277,278,Genetic and Evolutionary Computation Conference,GECCO,27.00
278,279,"International Conference on Social Computing/Privacy, Security, Risk and Trust",SocialCom/PASSAT,27.00
279,280,international conference on Human-computer interaction with mobile devices & services,Mobile HCI,27.00
280,281,the international journal on very large data bases,VLDB Journal,27.00
281,282,ACM Transactions on Intelligent Systems and Technology,ACM TIST,27.00
282,283,Applied Mathematics Letters,Appl. Math. Lett.,27.00
283,284,Soft Computing,,27.00
284,285,IEEE Geoscience and Remote Sensing Letters,GRSL,27.00
285,286,Journal of Field Robotics,JFR,27.00
286,287,International Journal of Human-Computer Studies,IJHCS,27.00
287,288,Journal of Software,JSW,27.00
288,289,Computational Linguistics,CL,26.00
289,290,Empirical Software Engineering,ESE,26.00
290,291,Advanced Engineering Informatics,AEI,26.00
291,292,,CDC-ECE,26.00
292,293,Workshop on Cryptographic Hardware and Embedded Systems,CHES,26.00
293,294,International Conference on Measurement and Modeling of Computer Systems,SIGMETRICS,26.00
294,295,International Conference on Web Services,ICWS,26.00
295,296,Intelligent Vehicles Symposium,IV,26.00
296,297,International Symposium/Conference on Music Information Retrieval,ISMIR,26.00
297,298,International Conference on Computational Linguistics,COLING,26.00
298,299,International Journal of Applied Earth Observation and Geoinformation,IJAEOG,26.00
299,300,IEEE Transaction on Biomedical Circuits and Systems,TBCAS,26.00
300,301,Transactions on Affective Computing,TAC,26.00
301,302,SIAM Journal on Matrix Analysis and Applications,SIMAX,26.00
302,303,Journal of Multivariate Analysis,JMA,26.00
303,304,Science of Computer Programming,Sci. Comput. Program.,26.00
304,305,Comp. Opt. and Appl.,,26.00
305,306,Mathematics of Computation,Math. Comput.,26.00
306,307,,TBC,26.00
307,308,Journal of Computational Biology,JCB,26.00
308,309,Data Mining and Knowledge Discovery,DMKD,26.00
309,310,Journal of Artificial Intelligence Research,JAIR,26.00
310,311,Computer-Aided Design,CAD,25.00
311,312,MICRO,MICRO,25.00
312,313,Wireless Networks,,25.00
313,314,Statistics and Computing,,25.00
314,315,Transportation Science,,25.00
315,316,Semantic Web,,25.00
316,317,Information & Management,INFORM MANAGEMENT,25.00
317,318,International Symposium on Software Testing and Analysis,ISSTA,25.00
318,319,ACL (Short Papers),,25.00
319,320,Mining Software Repositories,MSR,25.00
320,321,Pervasive,,25.00
321,322,IEEE Congress on Evolutionary Computation,CEC,25.00
322,323,,FG,25.00
323,324,ACM Symposium on Operating Systems Principles,SOSP,25.00
324,325,Pervasive and Mobile Computing,PMC,25.00
325,326,Robotics: Science and Systems,RSS,25.00
326,327,International Symposium on Circuits and Systems,ISCAS,25.00
327,328,Computer-Aided Civil and Infrastructure Engineering,CACAIE,25.00
328,329,Journal of Scientific Computing,J. Sci. Comput.,25.00
329,330,ACM Transactions on Database Systems,TODS,25.00
330,331,Enterprise IS,,25.00
331,332,EURASIP Journal on Advances in Signal Processing,EURASIP,25.00
332,333,European Test Symposium,ETS,25.00
333,334,Journal of the Association for Information Systems,JAIS,25.00
334,335,Computers in Industry,CiI,24.00
335,336,Discrete Applied Mathematics,DAM,24.00
336,337,Database,,24.00
337,338,Interacting with Computers,IWC,24.00
338,339,INFORMS Journal on Computing,IJOC,24.00
339,340,Information Fusion,INFFUS,24.00
340,341,Microelectronics Reliability,,24.00
341,342,"The IEEE International Conference on Software Testing, Verification and Validation",ICST,24.00
342,343,Vehicular Technology Conference,VTC Fall,24.00
343,344,International Cryptology Conference,CRYPTO,24.00
344,345,European Conference on IR Research,ECIR,24.00
345,346,CHI Extended Abstracts,,24.00
346,347,International. Conference on Software Maintenance,ICSM,24.00
347,348,PerCom Workshops,PerCom Workshops,24.00
348,349,European Conference on Object-Oriented Programming,ECOOP,24.00
349,350,Real-Time Systems Symposium,RTSS,24.00
350,351,Symposium On Usable Privacy and Security,SOUPS,24.00
351,352,International Conference on Principles of Knowledge Representation and Reasoning,KR,24.00
352,353,IEEE Transactions on Consumer Electronics,TCE,24.00
353,354,ACM Transactions on Software Engineering and Methodology,TOSEM,24.00
354,355,European Journal of Information Systems,EJIS,24.00
355,356,IEEE Transactions on Robotics,TR,24.00
356,357,Information and Computation,Inf. Comput.,24.00
357,358,Data & Knowledge Engineering,Data Knowl. Eng.,24.00
358,359,Information Processing & Management,Inf. Process. Manage.,24.00
359,360,Signal Processing: Image Communication,Sig. Proc.: Image Comm.,24.00
360,361,Digital Signal Processing,DSP,23.00
361,362,The Journal of Supercomputing,TJSC,23.00
362,363,Autonomous Agents and Multi-Agent Systems,AAMAS,23.00
363,364,Manufacturing & Service Operations Management,M&SOM),23.00
364,365,Journal of Computational Neuroscience,JCNS,23.00
365,366,Simulation Modelling Practice and Theory,SIMUL MODEL PRACT THEORY,23.00
366,367,WWW (Companion Volume),,23.00
367,368,Principles and Practice of Parallel Programming,PPoPP,23.00
368,369,International Symposium on Mobile Ad Hoc Networking and Computing,MobiHoc,23.00
369,370,International Conference on Supercomputing,ICS,23.00
370,371,Code Generation and Optimization,CGO,23.00
371,372,ACM SIGMOD Conference on Principles of DB Systems,PODS,23.00
372,373,ICCV Workshops,,23.00
373,374,IPDPS Workshops,,23.00
374,375,MICCAI (3),MICCAI,23.00
375,376,"ACM Symposium on Information, Computerand Communications Security",ASIACCS,23.00
376,377,,FUSION,23.00
377,378,Business Process Management,BPM,23.00
378,379,International Conference on Innovation Database Research,CIDR,23.00
379,380,IEEE Real-Time and Embedded Technology and Applications Symposium,,23.00
380,381,Hydrology and Earth System Sciences,HYDROL EARTH SYST SCI,23.00
381,382,IEEE Transactions on Computational Intelligence and AI in Games,TCIAIG,23.00
382,383,Industrial Management and Data Systems,IMDS,23.00
383,384,Computers in Biology and Medicine,Comp. in Bio. and Med.,23.00
384,385,IEEE Systems Journal,IEEE SYST J,23.00
385,386,Mathematics of Operations Research,MOR,23.00
386,387,Software and System Modeling,SoSyM,23.00
387,388,IEEE Security & Privacy,,23.00
388,389,User Modeling and User-Adapted Interaction,User Model. User-Adapt. Interact.,23.00
389,390,EURASIP Journal on Wireless Communications and Networking,EURASIP JWCN,23.00
390,391,Journal of Cryptology,J. Cryptology,23.00
391,392,ACM Transactions on Information and System Security,TISS,23.00
392,393,Software: Practice and Experience,"Softw., Pract. Exper.",23.00
393,394,Business Process Management Journal,BPMJ,23.00
394,395,Journal of the Operational Research Society,JORS,23.00
395,396,Machine Vision and Applications,Mach. Vis. Appl.,23.00
396,397,The Journal of Strategic Information Systems,J. Strategic Inf. Sys.,23.00
397,398,"Computers, Environment and Urban Systems",,23.00
398,399,Discrete & Computational Geometry,DCG,22.00
399,400,Journal of Intelligent and Robotic Systems,JIRS,22.00
400,401,Telecommunication Systems,TELSYS,22.00
401,402,Evolutionary Computation,,22.00
402,403,Neural Computing & Applications,NCA,22.00
403,404,Computers & Graphics,CG,22.00
404,405,"Conference on User Modelling, Adaptation and Personalization",UMAP,22.00
405,406,Cluster Computing,CLUSTER,22.00
406,407,Conference of the Association for Computational Linguistics,ACL,22.00
407,408,European Symposium on Programming,ESOP,22.00
408,409,nternational Learning Analytics and Knowledge,LAK,22.00
409,410,International Conference on Document Analysis and Recognition,ICDAR,22.00
410,411,International Joint Conference on Neural Networks,IJCNN,22.00
411,412,International Conference on Autonomic Computing,ICAC,22.00
412,413,European Conference on Wireless Sensor Networks,EWSN,22.00
413,414,ACM Multimedia Systems Conference Series,MMSys,22.00
414,415,International Conference on Hybrid Systems: Computation and Control,HSCC,22.00
415,416,Euromicro Conference on Real-Time Systems,ECRTS,22.00
416,417,Annual International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,22.00
417,418,International Conference on Multimedia and Expo,ICME,22.00
418,419,International Journal of Bifurcation and Chaos,IJBC,22.00
419,420,Journal of Intelligent Manufacturing,JIM,22.00
420,421,Logical Methods in Computer Science,LMCS,22.00
421,422,First Monday,FIRSTMONDAY,22.00
422,423,Mobile Networks & Applications,MONET,22.00
423,424,Medical & Biological Engineering & Computing,MBEC,22.00
424,425,IEEE Robotics & Automation Magazine,RAM,22.00
425,426,IET Communications,,22.00
426,427,Computer Journal,,22.00
427,428,Electronic Colloquium on Computational Complexity,ECCC,22.00
428,429,ACM Transactions on Programming Languages and Systems,TOPLAS,22.00
429,430,Journal of Global Optimization,J Gobal Optim.,22.00
430,431,SIAM Journal on Discrete Mathematics,SIDMA,22.00
431,432,IEEE Transactions on Learning Technologies,TLT,22.00
432,433,Random Structures & Algorithms,,22.00
433,434,Advances in Engineering Software,AES,21.00
434,435,Networks,,21.00
435,436,Parallel Computing,PARCO,21.00
436,437,Journal of Computer Security,JCS,21.00
437,438,Artificial Intelligence in Medicine,AIM,21.00
438,439,Foundations of Computational Mathematics,FoCM,21.00
439,440,Electronic Commerce Research and Applications,ECRA,21.00
440,441,Conference on Software Maintenance and Reengineering,CSMR,21.00
441,442,International Conference on Concurrency Theory,CONCUR,21.00
442,443,Requirements Engineering,RE,21.00
443,444,International Workshop on Practice and Theory in Public Key Cryptography,PKC,21.00
444,445,International Conf on Function Programming,ICFP,21.00
445,446,International Conference on Service Oriented Computing,ICSOC,21.00
446,447,ACM Conference on Security and Privacy in Wireless and Mobile Networks,WiSec,21.00
447,448,ACM International Conference on Intelligent User Interfaces,IUI,21.00
448,449,Financial Cryptography,,21.00
449,450,Fundamental Approaches to Software Engineering,FASE,21.00
450,451,International Conference on Medical Image Computing and Computer Assisted Intervention,MICCAI,21.00
451,452,International Conference on Computer-Aided Design,ICCAD,21.00
452,453,,SmartGridComm,21.00
453,454,International Conference on Network Protocols,ICNP,21.00
454,455,IEEE International Symposium on Performance Analysis of Systems and Software,ISPASS,21.00
455,456,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",PIMRC,21.00
456,457,The International Conference on Dependable Systems and Networks,DSN,21.00
457,458,Asia and South Pacific Design Automation Conference,ASP-DAC,21.00
458,459,Software Product Lines,SPLC,21.00
459,460,International Conference on Computational Linguistics (Posters),Coling (Poster),21.00
460,461,Journal of Biomedical Semantics,,21.00
461,462,Journal of Computer-Mediated Communication,JCMC,21.00
462,463,Operating Systems Review,SIGOPS,21.00
463,464,Requirements Engineering,Requir. Eng.,21.00
464,465,Journal of Medical Systems,J. Medical Systems,21.00
465,466,Information Retrieval,Inf. Retr.,21.00
466,467,SIAM J. Math. Analysis,SIAM J. Math. Analysis,21.00
467,468,Bioinformatics [ISMB/ECCB],,21.00
468,469,Bioinformatics [ISMB],,21.00
469,470,Journal of Logic and Computation,,21.00
470,471,European Journal of Combinatorics,Eur. J. Comb.,21.00
471,472,"Journal of Combinatorial Theory, Series A","J. Comb. Theory, Ser. A",21.00
472,473,BMC Med. Inf. & Decision Making,,21.00
473,474,Fundamenta Informaticae,Fundam. Inform.,21.00
474,475,Entropy,,21.00
475,476,Journal of Universal Computer Science,J.UCS,21.00
476,477,Computerized Medical Imaging and Graphics,Comp. Med. Imag. and Graph.,21.00
477,478,International Journal of Systems Science,Int. J. Systems Science,21.00
478,479,Journal of Visual Communication and Image Representation,,21.00
479,480,Performance Evaluation,Perform. Eval.,21.00
480,481,SIGMETRICS Performance Evaluation Review,,21.00
481,482,Finance and Stochastics,,21.00
482,483,International Journal of Neural Systems,Int. J. Neural Syst.,21.00
483,484,Journal of Knowledge Management,J. Knowledge Management,21.00
484,485,SIAM Journal on Financial Mathematics,SIFIN,21.00
485,486,International Journal on Software Tools for Technology Transfer,STTT,21.00
486,487,Journal of Intelligent Information Systems,Inf. Syst. J.,21.00
487,488,IEEE Computer Graphics and Applications,CGA,20.00
488,489,Journal of Mathematical Imaging and Vision,JMIV,20.00
489,490,Numerical Algorithms,,20.00
490,491,Language Resources and Evaluation,LRE,20.00
491,492,Journal of Computer Research and Development,,20.00
492,493,International Conference on Computational Science,ICCS,20.00
493,494,ACM Symposium on Principles of Distributed Computing,PODC,20.00
494,495,Advanced Information Networking and Applications,AINA,20.00
495,496,ACM International Conference on Interactive Tabletops and Surfaces,ITS,20.00
496,497,Conference on Information Sciences and Systems,CISS,20.00
497,498,ACM Symposium on Parallelism in Algorithms and Architectures,SPAA,20.00
498,499,Technical Symposium on Computer Science Education,SIGCSE,20.00
499,500,International Symposium on Mixed and Augmented Reality,ISMAR,20.00
500,501,IEEE International Symposium on Biomedical Imaging,ISBI,20.00
501,502,European Semantic Web Conference,ESWC,20.00
502,503,International Conference on Interaction Sciences,ICIS,20.00
503,504,Conference on Empirical Methods on Natural Language Processing and Computational Natural Language Learning,EMNLP-CoNLL,20.00
504,505,International Symposium on Recent Advancesin Intrusion Detection,RAID,20.00
505,506,International Journal of Geographical Information Science,IJGIS,20.00
506,507,International Conference on Future Energy Systems,e-Energy,20.00
